ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.XUI_Simulation	xui-simulation	1678704746223	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678705047215	1678705047215
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails	1678705167326	1678705167360	OK	 
REQUEST	1	PRL_CitizenC100_250_UrgentHearingDetails	PRL_CitizenC100_250_005_UrgentHearingDetails Redirect 1	1678705167362	1678705167438	OK	 
GROUP	1	PRL_CitizenC100_250_UrgentHearingDetails	1678705167324	1678705167499	168	OK
REQUEST	1	PRL_CitizenC100_260_AskingForWithoutNotice	PRL_CitizenC100_260_005_AskingForWithoutNotice	1678705171268	1678705171381	OK	 
REQUEST	1	PRL_CitizenC100_260_AskingForWithoutNotice	PRL_CitizenC100_260_005_AskingForWithoutNotice Redirect 1	1678705171389	1678705171458	OK	 
GROUP	1	PRL_CitizenC100_260_AskingForWithoutNotice	1678705171264	1678705171541	240	OK
REQUEST	1	PRL_CitizenC100_270_WithoutNoticeDetails	PRL_CitizenC100_270_005_WithoutNoticeDetails	1678705176208	1678705176246	OK	 
REQUEST	1	PRL_CitizenC100_270_WithoutNoticeDetails	PRL_CitizenC100_270_005_WithoutNoticeDetails Redirect 1	1678705176253	1678705176318	OK	 
GROUP	1	PRL_CitizenC100_270_WithoutNoticeDetails	1678705176204	1678705176387	157	OK
REQUEST	1	PRL_CitizenC100_280_ChildrenName	PRL_CitizenC100_280_005_ChildrenName	1678705181168	1678705181205	OK	 
GROUP	1	PRL_CitizenC100_280_ChildrenName	1678705181154	1678705181233	37	OK
REQUEST	1	PRL_CitizenC100_285_ChildrenNameRedirect	PRL_CitizenC100_280_005_ChildrenName	1678705186038	1678705186114	OK	 
GROUP	1	PRL_CitizenC100_285_ChildrenNameRedirect	1678705186034	1678705186266	190	OK
REQUEST	1	PRL_CitizenC100_290_ChildDetails	PRL_CitizenC100_290_005_ChildDetails	1678705191207	1678705191255	OK	 
REQUEST	1	PRL_CitizenC100_290_ChildDetails	PRL_CitizenC100_290_005_ChildDetails Redirect 1	1678705191261	1678705191329	OK	 
GROUP	1	PRL_CitizenC100_290_ChildDetails	1678705191203	1678705191427	184	OK
REQUEST	1	PRL_CitizenC100_300_WhichDecision	PRL_CitizenC100_300_005_WhichDecision	1678705195598	1678705195638	OK	 
REQUEST	1	PRL_CitizenC100_300_WhichDecision	PRL_CitizenC100_300_005_WhichDecision Redirect 1	1678705195647	1678705195710	OK	 
GROUP	1	PRL_CitizenC100_300_WhichDecision	1678705195594	1678705195780	164	OK
REQUEST	1	PRL_CitizenC100_310_ParentalResponsibility	PRL_CitizenC100_310_005_ParentalResponsibility	1678705199669	1678705199703	OK	 
REQUEST	1	PRL_CitizenC100_310_ParentalResponsibility	PRL_CitizenC100_310_005_ParentalResponsibility Redirect 1	1678705199709	1678705199786	OK	 
GROUP	1	PRL_CitizenC100_310_ParentalResponsibility	1678705199665	1678705199855	169	OK
REQUEST	1	PRL_CitizenC100_320_FurtherInformation	PRL_CitizenC100_320_005_FurtherInformation	1678705203940	1678705203973	OK	 
REQUEST	1	PRL_CitizenC100_320_FurtherInformation	PRL_CitizenC100_320_005_FurtherInformation Redirect 1	1678705203980	1678705204073	OK	 
GROUP	1	PRL_CitizenC100_320_FurtherInformation	1678705203933	1678705204163	184	OK
REQUEST	1	PRL_CitizenC100_330_OtherChildren	PRL_CitizenC100_330_005_OtherChildren	1678705207889	1678705207936	OK	 
REQUEST	1	PRL_CitizenC100_330_OtherChildren	PRL_CitizenC100_330_005_OtherChildren Redirect 1	1678705207945	1678705208020	OK	 
GROUP	1	PRL_CitizenC100_330_OtherChildren	1678705207884	1678705208081	177	OK
REQUEST	1	PRL_CitizenC100_340_EnterYourName	PRL_CitizenC100_340_005_EnterYourName	1678705212181	1678705212220	OK	 
GROUP	1	PRL_CitizenC100_340_EnterYourName	1678705212173	1678705212232	39	OK
REQUEST	1	PRL_CitizenC100_345_EnterYourNameRedirect	PRL_CitizenC100_340_005_EnterYourName	1678705215542	1678705215639	OK	 
